Standard_Bangla,English_translation
দেশকে দুর্নীতিমুক্ত করতে হলে আগে কোটা ব্যবস্থা বাতিল করা বাঞ্চনীয়,"To rid the country of corruption, it is advisable to abolish the quota system first."
এই কোটার কারণে আজ ভালো মেধাবীরা হারিয়ে যাচ্ছে.....।।।,"Due to this quota system, many talented individuals are being lost today..."
কোটা ব্যবস্হা সমাজকে অধপতনের দিকে নিয়ে যাচ্ছে।,The quota system is leading society towards decline.
কোটার খেতা পুড়ি।বন্ধকরা দরকার,The quota is finished. It needs to be closed.
‌কোটা ব্যবস্থা দে‌শের সং‌বিধা‌নের সা‌থে সাংঘর্ষিক তাই দ্রুত কোটা ব্যবস্থা বাদ দেওয়া উচিত।,"The quota system is conflicting with the constitution of the country, therefore it should be abolished quickly."
রোহিঙ্গাদের কোটায় আওতাভুক্ত করা হোক!,Include the Rohingyas in the quota system!
"কোটা থাকলে মাথায় হাত,কোটা উঠালে পেটে ভাত!","With quotas, it's a headache; without quotas, we have food on the table!"
কোটা ব্যবস্থা বাংলাদেশ থেকে চিরদিনের জন্য বাদ দেওয়া উচিত।,The quota system should be abolished permanently from Bangladesh.
মেধাবীদের জন্য বড় বাধা এই কোটা ব্যবস্থা।,The quota system is a major obstacle for meritorious students.
জীবন টা নষ্ট করে দিল এই কোটা ব্যাবস্থা।,This quota system has ruined my life.
স্হায়ী কোটা পদ্ধতি যেকোন জাতির জন্য অভিশাপ।,The permanent quota system is a curse for any nation.
কোটা মানেই হলো একই দেশের নাগরিকদের মধ্যে বৈশম্য।,Quota inherently means inequality among the citizens of the same country.
কোটা চালু মানে উপরে বাঁধ নীচে ছিদ্র।,Introducing quotas means a barrier at the top and holes at the bottom.
কোটা ব্যবস্থা সাধারনদের স্বাধীনতা ক্ষুন্ন করেছে।,The quota system has undermined the freedom of the general public.
ভাই চমৎকার উদ্যেগ,"Brother, what a wonderful initiative!"
মাশাআল্লাহ আল্লাহ আপনাদের কামাগ করুক,May Allah bless your work/endeavors.
বেঁচে থাকুক মানবতা।,Long live humanity.
"মহৎ উদ্যোগ, আল্লাহ রহমত করুন।","A noble endeavor, may Allah have mercy."
এর চেয়ে ভালো কাজ আর হয়না..!!,There's no better work than this..!!
